fecha	cols	rows	boosting	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	force_row_wise	verbosity	max_depth	min_gain_to_split	min_sum_hessian_in_leaf	lambda_l1	lambda_l2	max_bin	num_iterations	bagging_fraction	pos_bagging_fraction	neg_bagging_fraction	drop_rate	max_drop	skip_drop	extra_trees	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	estimulos	ganancia	iteracion_bayesiana
20221029 020635	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	327	1	1	1	0.1	50	0.5	FALSE	100019	0.0225331749856391	0.863723600271158	1027	1311	0.0124151269604574	16453	15734000	69
20221029 020901	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	709	1	1	1	0.1	50	0.5	FALSE	100019	0.047781669574735	0.793113620310091	5716	1522	0.0135578381600491	13333	19414000	70
20221029 020940	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	43	1	1	1	0.1	50	0.5	FALSE	100019	0.218208284831456	0.702534255959839	5959	379	0.0199831867652466	15182	17076000	71
20221029 021117	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	100019	0.230454278479181	0.825496492193081	190	1378	0.000761776751147566	17259	11962000	72
20221029 021225	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	321	1	1	1	0.1	50	0.5	FALSE	100019	0.124302348286377	0.288650140102394	5853	93	0.0169436617643885	13246	18548000	73
20221029 021307	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	44	1	1	1	0.1	50	0.5	FALSE	100019	0.175707621747761	0.468265998876095	7709	529	0.0197066128489162	16169	16782000	74
20221029 021409	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	222	1	1	1	0.1	50	0.5	FALSE	100019	0.133849336537629	0.250366849085316	5869	321	0.0160953908032052	14277	18486000	75
20221029 022218	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2437	1	1	1	0.1	50	0.5	FALSE	100019	0.00741801759112976	0.932697023215145	2952	187	0.0132644512092054	15129	18222000	76
20221029 022419	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	407	1	1	1	0.1	50	0.5	FALSE	100019	0.204606044430006	0.94827965365015	1519	320	3.10441896730587e-05	15130	14140000	77
20221029 022536	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	248	1	1	1	0.1	50	0.5	FALSE	100019	0.177240358257591	0.658366340069473	5296	1939	0.00869809802713491	13028	18824000	78
20221029 022741	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	539	1	1	1	0.1	50	0.5	FALSE	100019	0.274215222350078	0.907000984611921	4252	1313	2.89436411025222e-05	14925	14230000	79
20221029 022933	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	483	1	1	1	0.1	50	0.5	FALSE	100019	0.2436423019025	0.262781816520728	2370	1634	2.24060640288414e-05	12799	17682000	80
20221029 023121	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	331	1	1	1	0.1	50	0.5	FALSE	100019	0.268117909955136	0.327028696464188	962	1340	6.28030944902745e-07	15279	12482000	81
20221029 023324	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	499	1	1	1	0.1	50	0.5	FALSE	100019	0.0425322336449672	0.993298913448863	4717	594	0.0186559659291834	12770	19500000	82
20221029 023421	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	133	1	1	1	0.1	50	0.5	FALSE	100019	0.298171177874142	0.494568683813512	5825	269	0.00663135336405401	17724	11672000	83
20221029 023622	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	197	1	1	1	0.1	50	0.5	FALSE	100019	0.196767898372714	0.455876919078268	537	1631	1.38360407470158e-05	13444	15832000	84
20221029 023904	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	646	1	1	1	0.1	50	0.5	FALSE	100019	0.0349866077382816	0.431565944149159	3520	277	0.0105399617221566	15829	18022000	85
20221029 024048	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	444	1	1	1	0.1	50	0.5	FALSE	100019	0.218962660076349	0.619698362954706	4687	844	0.000546344451842021	14905	15870000	86
20221029 024127	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	46	1	1	1	0.1	50	0.5	FALSE	100019	0.173240920277911	0.61323527580481	7312	1164	0.0242465163980956	13427	18906000	87
20221029 024324	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	218	1	1	1	0.1	50	0.5	FALSE	100019	0.254740019124155	0.753207390602306	993	1335	1.79658840187023e-05	11470	17540000	88
20221029 024452	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	198	1	1	1	0.1	50	0.5	FALSE	100019	0.220655714571013	0.56149590298608	2498	485	0.00184778374141463	13063	17474000	89
20221029 024617	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	307	1	1	1	0.1	50	0.5	FALSE	100019	0.0833284193213133	0.412770642417297	4992	652	0.0200051160813061	12004	19672000	90
20221029 024800	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	185	1	1	1	0.1	50	0.5	FALSE	100019	0.155012084714873	0.462907090449519	619	695	0.000441159092505324	14053	15414000	91
20221029 024930	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	374	1	1	1	0.1	50	0.5	FALSE	100019	0.261326686996974	0.962505170448683	6681	2019	0.0017731204395273	13671	15858000	92
20221029 025142	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	450	1	1	1	0.1	50	0.5	FALSE	100019	0.113918347279262	0.604645247374289	1581	301	0.000839099193949274	13239	18002000	93
20221029 025945	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	2378	1	1	1	0.1	50	0.5	FALSE	100019	0.00938959315529675	0.447083698418737	4476	1930	0.0184675025476973	12992	20736000	94
20221029 030206	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	124	1	1	1	0.1	50	0.5	FALSE	100019	0.0995495208401163	0.86303725983575	1596	1753	0.013572828180258	13311	18178000	95
20221029 030538	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	1272	1	1	1	0.1	50	0.5	FALSE	100019	0.0367120242909854	0.882274344351143	3817	127	0.0057786681449455	15684	16552000	96
20221029 030737	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	456	1	1	1	0.1	50	0.5	FALSE	100019	0.292047127106538	0.630127947731689	3146	365	9.25447611235644e-06	15198	14724000	97
20221029 030853	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	403	1	1	1	0.1	50	0.5	FALSE	100019	0.144111682230595	0.313880564443022	1439	113	0.00952727584246573	12055	18690000	98
20221029 031045	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	282	1	1	1	0.1	50	0.5	FALSE	100019	0.0457674026515637	0.521997139609978	2793	611	0.0169798212947209	14449	18702000	99
20221029 031241	259	1009391	gbdt	binary	custom	TRUE	TRUE	FALSE	TRUE	-100	-1	0	0.001	0	0	31	250	1	1	1	0.1	50	0.5	FALSE	100019	0.258878478914561	0.818694659920968	1532	1416	2.99688292948929e-05	13058	16844000	100
